,borough,neighbourhood,superhost
485,Manhattan,Midtown,False
486,Manhattan,Midtown,False
487,Manhattan,Midtown,False
488,Manhattan,Midtown,False
489,Manhattan,Midtown,False
490,Manhattan,Midtown,False
491,Manhattan,Midtown,True
492,Manhattan,Midtown,False
493,Manhattan,Midtown,False
494,Manhattan,Midtown,False
495,Manhattan,Midtown,False
496,Manhattan,Midtown,False
497,Manhattan,Midtown,False
498,Manhattan,Midtown,False
499,Manhattan,Midtown,False
500,Manhattan,Midtown,False
501,Manhattan,Midtown,False
502,Manhattan,Midtown,False
503,Manhattan,Midtown,False
504,Manhattan,Midtown,False
505,Manhattan,Midtown,False
506,Manhattan,Midtown,False
507,Manhattan,Midtown,True
508,Manhattan,Midtown,False
509,Manhattan,Midtown,False
510,Manhattan,Midtown,True
511,Manhattan,Midtown,False
512,Manhattan,Midtown,False
513,Manhattan,Midtown,False
514,Manhattan,Midtown,False
515,Manhattan,Midtown,False
516,Manhattan,Midtown,False
517,Manhattan,Midtown,False
518,Manhattan,Midtown,False
519,Manhattan,Midtown,False
520,Manhattan,Midtown,False
521,Manhattan,Midtown,False
522,Manhattan,Midtown,False
523,Manhattan,Midtown,False
524,Manhattan,Midtown,False
525,Manhattan,Midtown,True
526,Manhattan,Midtown,True
527,Manhattan,Midtown,False
528,Manhattan,Midtown,False
529,Manhattan,Midtown,False
530,Manhattan,Midtown,False
531,Manhattan,Midtown,False
532,Manhattan,Midtown,True
533,Manhattan,Midtown,False
534,Manhattan,Midtown,True
535,Manhattan,Midtown,True
536,Manhattan,Midtown,False
537,Manhattan,Midtown,False
538,Manhattan,Midtown,False
539,Manhattan,Midtown,True
540,Manhattan,Midtown,False
541,Manhattan,Midtown,False
542,Manhattan,Midtown,True
543,Manhattan,Midtown,True
544,Manhattan,Midtown,False
545,Manhattan,Midtown,False
546,Manhattan,Midtown,True
547,Manhattan,Midtown,True
548,Manhattan,Midtown,True
549,Manhattan,Midtown,True
550,Manhattan,Midtown,False
551,Manhattan,Midtown,False
552,Manhattan,Midtown,False
553,Manhattan,Midtown,True
554,Manhattan,Midtown,False
555,Manhattan,Midtown,True
556,Manhattan,Midtown,False
557,Manhattan,Midtown,False
558,Manhattan,Midtown,False
559,Manhattan,Midtown,False
560,Manhattan,Midtown,False
561,Manhattan,Midtown,False
562,Manhattan,Midtown,False
563,Manhattan,Midtown,False
564,Manhattan,Midtown,True
565,Manhattan,Midtown,False
566,Manhattan,Midtown,False
567,Manhattan,Midtown,False
568,Manhattan,Midtown,False
569,Manhattan,Midtown,False
570,Manhattan,Midtown,False
571,Manhattan,Midtown,True
572,Manhattan,Midtown,False
573,Manhattan,Midtown,False
574,Manhattan,Midtown,False
575,Manhattan,Midtown,False
576,Manhattan,Midtown,False
577,Manhattan,Midtown,True
578,Manhattan,Midtown,False
579,Manhattan,Midtown,False
580,Manhattan,Midtown,False
581,Manhattan,Midtown,False
582,Manhattan,Midtown,False
583,Manhattan,Midtown,False
584,Manhattan,Midtown,False
585,Manhattan,Midtown,False
586,Manhattan,Midtown,False
587,Manhattan,Midtown,False
588,Manhattan,Midtown,False
589,Manhattan,Midtown,False
590,Manhattan,Midtown,False
591,Manhattan,Midtown,False
592,Manhattan,Midtown,False
593,Manhattan,Midtown,False
594,Manhattan,Midtown,False
595,Manhattan,Midtown,False
596,Manhattan,Midtown,False
597,Manhattan,Midtown,False
598,Manhattan,Midtown,False
599,Manhattan,Midtown,False
600,Manhattan,Midtown,False
601,Manhattan,Midtown,False
602,Manhattan,Midtown,False
603,Manhattan,Midtown,True
604,Manhattan,Midtown,False
605,Manhattan,Midtown,False
606,Manhattan,Midtown,False
607,Manhattan,Midtown,False
608,Manhattan,Midtown,False
609,Manhattan,Midtown,False
610,Manhattan,Midtown,False
611,Manhattan,Midtown,False
612,Manhattan,Midtown,False
613,Manhattan,Midtown,False
614,Manhattan,Midtown,False
615,Manhattan,Midtown,False
616,Manhattan,Midtown,False
617,Manhattan,Midtown,False
618,Manhattan,Midtown,False
619,Manhattan,Midtown,False
620,Manhattan,Midtown,True
621,Manhattan,Midtown,False
622,Manhattan,Midtown,False
623,Manhattan,Midtown,False
624,Manhattan,Midtown,False
625,Manhattan,Midtown,False
626,Manhattan,Midtown,False
627,Manhattan,Midtown,True
628,Manhattan,Midtown,False
629,Manhattan,Midtown,False
630,Manhattan,Midtown,False
631,Manhattan,Midtown,False
632,Manhattan,Midtown,False
633,Manhattan,Midtown,False
634,Manhattan,Midtown,False
635,Manhattan,Midtown,False
