,id,neighborhood_id,borough_id,latitude,longitude,roomtype_id,price,number_of_reviews,superhost,borough,neighbourhood,room_type
692,41940253,115,3,40.74684,-73.9883,1,982,7,1,Manhattan,Midtown,Entire home/apt
693,41940447,115,3,40.74814,-73.9882,1,66,18,1,Manhattan,Midtown,Entire home/apt
694,41940540,115,3,40.74743,-73.9886,1,108,18,1,Manhattan,Midtown,Entire home/apt
695,41940603,115,3,40.74683,-73.9889,1,86,21,1,Manhattan,Midtown,Entire home/apt
698,41963212,115,3,40.7544,-73.9725,1,102,3,1,Manhattan,Midtown,Entire home/apt
702,42001164,115,3,40.75262,-73.9928,1,115,6,1,Manhattan,Midtown,Entire home/apt
714,42343069,115,3,40.74205,-73.9829,1,120,7,1,Manhattan,Midtown,Entire home/apt
724,42622550,115,3,40.75992,-73.9695,1,133,11,1,Manhattan,Midtown,Entire home/apt
735,42838791,115,3,40.76004,-73.9691,1,195,8,1,Manhattan,Midtown,Entire home/apt
757,43327284,115,3,40.7531,-73.9716,1,79,13,1,Manhattan,Midtown,Entire home/apt
758,43338332,115,3,40.74797,-73.9873,1,73,10,1,Manhattan,Midtown,Entire home/apt
761,43370455,115,3,40.75067,-73.9725,1,699,0,1,Manhattan,Midtown,Entire home/apt
764,43423187,115,3,40.75191,-73.972,1,225,0,1,Manhattan,Midtown,Entire home/apt
765,43451168,115,3,40.76387,-73.9804,1,185,0,1,Manhattan,Midtown,Entire home/apt
766,43459172,115,3,40.75592,-73.9658,1,96,20,1,Manhattan,Midtown,Entire home/apt
768,43536521,115,3,40.75549,-73.9686,1,85,23,1,Manhattan,Midtown,Entire home/apt
771,43551177,115,3,40.75753,-73.9666,1,89,26,1,Manhattan,Midtown,Entire home/apt
777,43690836,115,3,40.75349,-73.9656,1,99,0,1,Manhattan,Midtown,Entire home/apt
788,43765612,115,3,40.75811,-73.9679,1,100,3,1,Manhattan,Midtown,Entire home/apt
799,43906180,115,3,40.75366,-73.9731,1,550,0,1,Manhattan,Midtown,Entire home/apt
815,44207647,115,3,40.76428,-73.9845,1,299,0,1,Manhattan,Midtown,Entire home/apt
821,44311458,115,3,40.75661,-73.9674,1,79,18,1,Manhattan,Midtown,Entire home/apt
831,44691898,115,3,40.75152,-73.9715,1,609,0,1,Manhattan,Midtown,Entire home/apt
833,44975642,115,3,40.75162,-73.9723,1,198,3,1,Manhattan,Midtown,Entire home/apt
848,45414252,115,3,40.75247,-73.9705,1,160,3,1,Manhattan,Midtown,Entire home/apt
860,45632196,115,3,40.7476,-73.9869,1,163,3,1,Manhattan,Midtown,Entire home/apt
862,45698737,115,3,40.7534,-73.973,1,363,0,1,Manhattan,Midtown,Entire home/apt
875,45883258,115,3,40.75241,-73.9661,1,150,0,1,Manhattan,Midtown,Entire home/apt
876,45914463,115,3,40.75379,-73.9742,1,200,3,1,Manhattan,Midtown,Entire home/apt
877,45918724,115,3,40.74698,-73.9867,1,71,0,1,Manhattan,Midtown,Entire home/apt
882,45984586,115,3,40.75293,-73.9721,1,321,0,1,Manhattan,Midtown,Entire home/apt
887,46007624,115,3,40.75474,-73.9696,1,1300,0,1,Manhattan,Midtown,Entire home/apt
892,46101558,115,3,40.75729,-73.9817,1,200,0,1,Manhattan,Midtown,Entire home/apt
903,46335656,115,3,40.75573,-73.9658,1,120,0,1,Manhattan,Midtown,Entire home/apt
908,46432057,115,3,40.75443,-73.9681,1,110,0,1,Manhattan,Midtown,Entire home/apt
921,46549492,115,3,40.75896,-73.9633,1,95,0,1,Manhattan,Midtown,Entire home/apt
930,46676092,115,3,40.7574,-73.9623,1,130,0,1,Manhattan,Midtown,Entire home/apt
932,46723027,115,3,40.74663,-73.9825,1,92,0,1,Manhattan,Midtown,Entire home/apt
950,148825,127,3,40.79765,-73.9625,1,150,218,1,Manhattan,Upper West Side,Entire home/apt
958,263888,127,3,40.79433,-73.9765,1,175,160,1,Manhattan,Upper West Side,Entire home/apt
961,268362,127,3,40.77991,-73.985,1,279,6,1,Manhattan,Upper West Side,Entire home/apt
962,295998,127,3,40.7909,-73.9676,1,300,48,1,Manhattan,Upper West Side,Entire home/apt
