listing_id,day of week,price
53758,Thursday,99.0
53758,Tuesday,99.0
53758,Wednesday,99.0
54466,Friday,200.0
54466,Monday,200.0
54466,Saturday,200.0
54466,Sunday,200.0
54466,Thursday,200.0
54466,Tuesday,200.0
54466,Wednesday,200.0
54508,Friday,50.0
54508,Monday,50.0
54508,Saturday,50.02040816326531
54508,Sunday,50.02040816326531
54508,Thursday,50.04081632653061
54508,Tuesday,50.0
54508,Wednesday,50.0
54544,Friday,165.0
54544,Monday,160.0
54544,Saturday,165.0
54544,Sunday,160.0
54544,Thursday,160.0
54544,Tuesday,160.0
54544,Wednesday,160.0
54694,Friday,65.0
54694,Monday,65.0
54694,Saturday,65.0
54694,Sunday,65.0
54694,Thursday,65.0
54694,Tuesday,65.0
54694,Wednesday,65.0
54860,Friday,100.38
54860,Monday,100.0
54860,Saturday,100.0
54860,Sunday,100.0
54860,Thursday,100.0
54860,Tuesday,100.0
54860,Wednesday,100.0
55982,Friday,85.0
55982,Monday,85.0
55982,Saturday,85.0
55982,Sunday,85.0
55982,Thursday,85.0
55982,Tuesday,85.0
55982,Wednesday,85.0
56525,Friday,293.0
56525,Monday,292.9591836734694
56525,Saturday,292.9591836734694
56525,Sunday,292.9591836734694
56525,Thursday,293.9795918367347
56525,Tuesday,293.9795918367347
56525,Wednesday,293.9795918367347
56859,Friday,85.0
56859,Monday,75.0
56859,Saturday,85.0
56859,Sunday,75.0
56859,Thursday,75.0
56859,Tuesday,75.0
56859,Wednesday,75.0
57166,Friday,127.94
57166,Monday,122.16326530612245
57166,Saturday,127.6938775510204
57166,Sunday,122.16326530612245
57166,Thursday,122.16326530612245
57166,Tuesday,122.16326530612245
57166,Wednesday,122.16326530612245
57297,Friday,167.8
57297,Monday,110.59183673469387
57297,Saturday,167.77551020408163
57297,Sunday,110.59183673469387
57297,Thursday,110.59183673469387
57297,Tuesday,110.59183673469387
57297,Wednesday,110.59183673469387
57468,Friday,170.24
57468,Monday,170.0
57468,Saturday,170.0
57468,Sunday,170.0
57468,Thursday,170.85714285714286
57468,Tuesday,170.0
