rates_id,neighbourhood_id,year,month,price
202157,7,2021,5,55
202167,7,2021,6,55
202177,7,2021,7,55
202187,7,2021,8,55
202197,7,2021,9,55
2021107,7,2021,10,55
2021117,7,2021,11,55
2021127,7,2021,12,55
201718,8,2017,1,95
201728,8,2017,2,78
201738,8,2017,3,78
201748,8,2017,4,79
201758,8,2017,5,78
201768,8,2017,6,91
201778,8,2017,7,95
201788,8,2017,8,96
201798,8,2017,9,95
2017108,8,2017,10,95
2017118,8,2017,11,95
2017128,8,2017,12,95
201818,8,2018,1,78
201828,8,2018,2,80
201838,8,2018,3,79
201848,8,2018,4,80
201858,8,2018,5,80
201868,8,2018,6,80
201878,8,2018,7,84
201888,8,2018,8,90
201898,8,2018,9,90
2018108,8,2018,10,90
2018118,8,2018,11,91
2018128,8,2018,12,91
201918,8,2019,1,78
201928,8,2019,2,78
201938,8,2019,3,78
201948,8,2019,4,78
201958,8,2019,5,78
201968,8,2019,6,78
201978,8,2019,7,82
201988,8,2019,8,83
201998,8,2019,9,82
2019108,8,2019,10,82
2019118,8,2019,11,83
2019128,8,2019,12,82
202018,8,2020,1,78
202028,8,2020,2,78
202038,8,2020,3,78
202048,8,2020,4,78
202058,8,2020,5,79
202068,8,2020,6,79
202078,8,2020,7,79
202088,8,2020,8,79
202098,8,2020,9,79
2020108,8,2020,10,79
2020118,8,2020,11,79
2020128,8,2020,12,81
202118,8,2021,1,91
202128,8,2021,2,91
202138,8,2021,3,91
202148,8,2021,4,91
202158,8,2021,5,91
202168,8,2021,6,91
202178,8,2021,7,91
202188,8,2021,8,91
202198,8,2021,9,91
2021108,8,2021,10,91
2021118,8,2021,11,91
2021128,8,2021,12,91
201719,9,2017,1,60
201729,9,2017,2,62
201739,9,2017,3,75
201749,9,2017,4,71
201759,9,2017,5,77
201769,9,2017,6,74
201779,9,2017,7,73
201789,9,2017,8,73
201799,9,2017,9,73
2017109,9,2017,10,73
2017119,9,2017,11,73
2017129,9,2017,12,73
201819,9,2018,1,71
201829,9,2018,2,68
201839,9,2018,3,72
201849,9,2018,4,75
201859,9,2018,5,80
201869,9,2018,6,85
201879,9,2018,7,85
201889,9,2018,8,77
201899,9,2018,9,77
2018109,9,2018,10,77
2018119,9,2018,11,77
2018129,9,2018,12,77
201919,9,2019,1,69
201929,9,2019,2,72
201939,9,2019,3,74
201949,9,2019,4,77
201959,9,2019,5,79
201969,9,2019,6,81
201979,9,2019,7,81
201989,9,2019,8,81
201999,9,2019,9,81
2019109,9,2019,10,81
2019119,9,2019,11,81
2019129,9,2019,12,81
202019,9,2020,1,78
202029,9,2020,2,79
202039,9,2020,3,83
202049,9,2020,4,88
202059,9,2020,5,90
202069,9,2020,6,90
202079,9,2020,7,91
202089,9,2020,8,91
202099,9,2020,9,92
2020109,9,2020,10,91
2020119,9,2020,11,85
2020129,9,2020,12,85
202119,9,2021,1,74
202129,9,2021,2,74
202139,9,2021,3,75
202149,9,2021,4,77
202159,9,2021,5,79
202169,9,2021,6,79
202179,9,2021,7,79
202189,9,2021,8,79
202199,9,2021,9,79
2021109,9,2021,10,79
2021119,9,2021,11,78
2021129,9,2021,12,78
2017110,10,2017,1,38
2017210,10,2017,2,23
2017310,10,2017,3,25
2017410,10,2017,4,28
2017510,10,2017,5,52
2017610,10,2017,6,55
2017710,10,2017,7,56
2017810,10,2017,8,57
2017910,10,2017,9,56
20171010,10,2017,10,57
20171110,10,2017,11,57
20171210,10,2017,12,57
2018110,10,2018,1,62
2018210,10,2018,2,56
2018310,10,2018,3,57
2018410,10,2018,4,59
2018510,10,2018,5,60
2018610,10,2018,6,66
2018710,10,2018,7,69
2018810,10,2018,8,71
2018910,10,2018,9,71
20181010,10,2018,10,71
20181110,10,2018,11,71
20181210,10,2018,12,71
2019110,10,2019,1,55
2019210,10,2019,2,57
2019310,10,2019,3,58
2019410,10,2019,4,60
2019510,10,2019,5,62
2019610,10,2019,6,63
2019710,10,2019,7,64
2019810,10,2019,8,64
2019910,10,2019,9,64
20191010,10,2019,10,64
20191110,10,2019,11,64
20191210,10,2019,12,64
2020110,10,2020,1,60
2020210,10,2020,2,59
2020310,10,2020,3,60
2020410,10,2020,4,61
2020510,10,2020,5,62
2020610,10,2020,6,62
2020710,10,2020,7,63
2020810,10,2020,8,64
2020910,10,2020,9,63
20201010,10,2020,10,63
20201110,10,2020,11,63
20201210,10,2020,12,64
