id,superhost,neighborhood_id,borough_id,latitude,longitude,roomtype_id,price,number_of_reviews
57874,1,108,3,40.80931,-73.9434,2,157,264
58059,1,108,3,40.8251,-73.9429,2,41,524
58062,0,97,2,40.65912,-73.9842,2,139,25
58467,0,120,3,40.76193,-73.9501,2,99,22
59014,1,113,3,40.72052,-73.9859,1,150,57
59121,0,173,4,40.70411,-73.8993,1,186,2
59709,0,100,3,40.71756,-73.995,1,130,24
59855,1,115,3,40.7589,-73.9699,1,250,82
60164,0,124,3,40.71947,-74.0037,1,500,106
60457,0,107,3,40.73194,-73.9947,1,250,10
60611,1,102,3,40.79163,-73.9457,1,88,190
60666,0,108,3,40.8118,-73.9443,2,110,216
60673,0,108,3,40.81583,-73.9471,2,125,3
60680,1,103,3,40.72654,-73.9805,1,79,163
60794,0,127,3,40.80021,-73.9607,1,211,4
61167,0,112,3,40.71961,-73.9954,1,135,21
61509,0,115,3,40.75749,-73.969,1,110,92
62264,1,96,2,40.72159,-73.9602,2,65,20
62427,1,103,3,40.7268,-73.9908,1,130,61
62430,0,60,2,40.688,-73.9171,1,72,129
62452,0,225,5,40.63536,-74.0854,2,30,213
62461,0,225,5,40.63627,-74.0854,2,45,171
62468,0,127,3,40.79323,-73.9727,1,170,30
62787,0,225,5,40.63518,-74.0855,2,45,202
62891,0,103,3,40.72477,-73.9816,1,140,198
62903,1,99,3,40.74116,-73.9941,1,205,68
62925,0,81,2,40.72945,-73.9551,1,285,130
63320,0,223,5,40.63692,-74.0859,2,45,260
63588,1,8,1,40.81309,-73.8551,2,89,0
63610,1,13,1,40.881,-73.8351,1,92,44
63657,0,52,2,40.68236,-73.9431,1,135,268
63693,0,103,3,40.72185,-73.9825,1,200,153
63913,0,110,3,40.86648,-73.9263,2,64,1
64000,0,96,2,40.7069,-73.9547,2,33,14
64015,0,103,3,40.72807,-73.9859,1,200,0
64107,1,67,2,40.6778,-73.9434,2,100,308
64314,0,67,2,40.6761,-73.9529,2,75,50
64365,0,67,2,40.67586,-73.9516,2,60,244
64837,0,103,3,40.72321,-73.9816,2,40,215
65200,0,52,2,40.68027,-73.9443,2,36,80
65268,0,52,2,40.68276,-73.9526,2,75,63
65425,1,113,3,40.71856,-73.9931,1,65,1
65615,0,96,2,40.71069,-73.9518,1,85,56
65660,0,96,2,40.70863,-73.9464,1,95,158
65813,0,108,3,40.82888,-73.9431,2,75,20
65834,0,87,2,40.67319,-73.9732,1,176,11
65981,0,126,3,40.77032,-73.9501,1,99,64
66008,1,79,2,40.67819,-73.9927,1,190,68
66251,1,103,3,40.72681,-73.9853,1,205,97
66275,1,119,3,40.72078,-73.9942,1,116,133
66718,0,108,3,40.81322,-73.9531,1,97,211
66741,1,87,2,40.67732,-73.9823,1,150,250
66974,1,79,2,40.68076,-73.9896,1,170,98
67151,0,173,4,40.70148,-73.9114,1,110,1
67288,1,102,3,40.79544,-73.9484,1,102,31
67299,0,96,2,40.71492,-73.9628,1,70,64
67397,1,108,3,40.80332,-73.9574,2,122,105
