id,name,host_id,borough_id,neighbourhood_id,latitude,longitude,room_type_id,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,4,165,40.74771,-73.9474,2,130,2,282,10/14/2020,2.21,1,257
12940,Charming Brownstone 3 - Near PRATT,50148,2,52,40.68111,-73.95591,1,100,30,67,8/22/2020,0.5,1,197
13121,(E) RIGHT ON BUDGET,27848,4,158,40.67144,-73.76501,2,75,2,65,5/28/2018,0.52,5,365
13267,Sunny Williamsburg/New York loft,51777,2,96,40.71751,-73.96286,1,245,180,35,3/25/2013,0.27,1,365
13394,Fort Greene brownstone,52335,2,76,40.69142,-73.97376,2,80,1,143,3/19/2020,1.07,1,195
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,2,52,40.68064,-73.94039,2,81,2,141,7/12/2020,1.1,3,286
14290,* ORIGINAL BROOKLYN LOFT *,56104,2,96,40.7042,-73.9356,1,146,3,103,11/9/2020,0.77,1,165
14314,Greenpoint Place...Has It All!,56246,2,81,40.73506,-73.95392,1,99,30,180,8/16/2020,5.79,1,0
14322,Beautiful Apartment in Manhattan!!!,56284,3,111,40.73961,-73.98074,1,200,30,20,12/31/2019,0.19,1,327
15341,Bright Nolita Apt w Doorman & Elevator*,60049,3,119,40.72297,-73.99684,1,150,30,26,10/14/2020,0.3,1,90
15385,"Very, very cozy place",60252,2,96,40.71185,-73.96204,2,80,7,49,2/7/2020,0.38,1,313
15396,Sunny & Spacious Chelsea Apartment,60278,3,99,40.74623,-73.9953,1,375,30,5,11/3/2018,0.09,1,0
15711,2 bedroom Upper East Side,61491,3,126,40.77065,-73.95269,1,270,30,83,7/8/2020,0.62,2,95
16326,Comfortable 4-bedroom apt in family house.,63588,2,88,40.67811,-73.96428,1,300,30,151,10/21/2020,1.21,1,347
16338,Double Room w Private Deck Clinton Hill Best Area,63613,2,76,40.68985,-73.96948,2,40,7,28,4/1/2020,0.21,2,365
16580,"Sunny, Modern room in East Village!",64442,3,103,40.72649,-73.97904,2,53,2,419,11/20/2020,4.71,1,160
16595,BRICK HAVEN ~ Loft ~ Full Floor ~ Double Exposure,64522,2,96,40.70933,-73.96792,1,220,1,182,10/16/2020,1.48,2,364
16821,Large Room in Amazing East Village Apt,4396,3,103,40.72298,-73.98474,2,69,1,119,8/23/2020,1.17,2,365
16974,SpaHa Loft: Enormous and Bright,65837,3,102,40.80164,-73.93922,1,300,4,214,11/10/2020,1.61,1,144
17037,Lovely EV Artist's Home,66035,3,103,40.72162,-73.98008,1,250,30,53,3/18/2020,0.41,1,177
17693,"HARLEM, NYC,STILL WELCOMES YOU!! xx",68428,3,128,40.8306,-73.94042,2,65,2,60,12/8/2019,1.25,2,365
17747,BLUE TRIM GUEST HOUSE,68599,2,63,40.68346,-73.96374,2,95,150,128,3/8/2020,0.98,1,364
18127,Charming East Village One Bedroom Flat,69829,3,103,40.72828,-73.98801,1,176,30,21,1/2/2019,0.17,1,362
18195,King of Queens w/ Private Bathroom,70091,4,182,40.7459,-73.90764,2,70,30,22,5/16/2020,0.17,2,254
18198,Little King of Queens,70091,4,182,40.75038,-73.90334,2,55,30,28,9/19/2020,0.21,2,64
18728,"Entire space available 1/15-3/31, $10,000/month",71876,3,99,40.74246,-74.00196,2,150,4,184,3/9/2020,1.55,1,354
18764,Cozy 2 BR in Williamsburg,72014,2,96,40.71154,-73.96112,2,145,30,63,8/4/2019,0.48,2,365
18961,Cozy Studio in Great Location!,70857,3,111,40.73808,-73.98001,2,95,30,1,3/22/2016,0.02,1,365
19159,Spacious luminous apt Upper West NYC,73051,3,108,40.82915,-73.95136,1,110,31,58,9/1/2020,0.46,1,224
19282,"Sunny, Spacious Top Floor Haven",73469,2,74,40.65401,-73.96323,1,130,30,17,7/20/2019,0.14,1,338
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,2,96,40.71833,-73.95748,1,105,30,61,8/9/2018,0.46,1,331
20611,Cozy Bedroom in Williamsburg 3 BR,72014,2,96,40.71156,-73.96218,2,85,30,193,12/18/2019,1.48,2,365
20717,Room in Brownstone B/Q feet away,78353,2,88,40.67832,-73.97243,2,85,30,45,11/8/2020,0.52,4,353
20724,Sunny room+Pvte office in huge loft,961342,2,52,40.69898,-73.94025,2,50,5,31,11/24/2020,0.3,1,258
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,2,63,40.68634,-73.966,2,98,7,19,4/25/2020,0.2,5,364
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,2,96,40.70984,-73.95775,1,80,30,168,7/22/2018,1.35,1,0
21456,Light-filled classic Central Park,42032,3,127,40.79764,-73.96177,1,99,30,83,11/21/2020,0.63,1,365
21644,"Upper Manhattan, New York",82685,3,108,40.82803,-73.94731,2,99,30,3,10/21/2019,0.11,1,365
